EndDate [统计截止日期] - YYYY-MM-DD
InstitutionID [公司ID] - 人工智能库的公司ID
CSMARInstitutionID [希施玛公司ID] - 希施玛编制的公司ID，可以与希施玛其他库公司ID实现关联
InstitutionName [公司名称] - 人工智能企业中文名称，详细判断规则见说明书附录。
IsListed [上市标识] - 0=未上市，1=上市，2=退市
Symbol [证券代码] - null
BusinessState [经营状态] - 1=运营；2=破产清算；3=接受法律调查；4=终止运营
EstablishDate [成立日期] - null
RegisteredCapital [注册资本] - null
RegCapitalSgnTime [注册资本统计时间] - null
StaffNumber [员工人数] - null
GBCode2017MainClass [所属行业门类-主营业务] - 国民经济行业分类2017版
MainBussIndCode [所属行业代码-主营业务] - null
MainBussinessIndustry [所属行业名称-主营业务] - null
GBCode2017OtherClass [所属行业门类-其他业务] - 国民经济行业分类2017版
OtherBussIndCode [所属行业代码-其他业务] - null
OtherBussinessIndustry [所属行业名称-其他业务] - null
MainProduct [主要产品] - null
BusinessRange [经营范围] - null
EnterpriseNature [公司登记注册类型] - 有限责任公司、上市有限公司、外资企业等
ISIN [ISIN编码] - null
